,site,product,lon,lat,event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline
22,Lamberts Bay,SACTN,18.30262184,-32.09184626,22,2232,2233,2236,5,1996-05-06,1996-05-07,1996-05-10,-1.3115,-1.709,0.4165,-6.5575,-0.8592,-1.2398,0.4031,-4.2959,11.9,11.5,0.4183,59.5,-0.5697,-0.3145
23,Lamberts Bay,SACTN,18.30262184,-32.09184626,23,2333,2337,2337,5,1996-08-15,1996-08-19,1996-08-19,-0.5722,-0.9075,0.2755,-2.8609,-0.2281,-0.563,0.2754,-1.1407,12.3,12,0.2739,61.5,-0.0729,0.0186
24,Lamberts Bay,SACTN,18.30262184,-32.09184626,24,2387,2388,2390,4,1996-10-08,1996-10-09,1996-10-11,-1.1078,-1.732,0.4788,-4.4314,-0.5347,-1.1677,0.4929,-2.1389,11.625,11,0.4787,46.5,-0.6632,-0.5462
25,Lamberts Bay,SACTN,18.30262184,-32.09184626,25,2407,2408,2409,3,1996-10-28,1996-10-29,1996-10-30,-1.4191,-1.9191,0.4927,-4.2573,-0.6709,-1.1709,0.5,-2.0127,11.5,11,0.5,34.5,-0.8114,-0.819
26,Lamberts Bay,SACTN,18.30262184,-32.09184626,26,2431,2433,2433,3,1996-11-21,1996-11-23,1996-11-23,-1.2211,-1.5716,0.3037,-3.6632,-0.3933,-0.731,0.2924,-1.18,11.8333,11.5,0.2887,35.5,-0.4159,-1.5716
27,Lamberts Bay,SACTN,18.30262184,-32.09184626,27,2457,2460,2460,4,1996-12-17,1996-12-20,1996-12-20,-1.589,-1.7414,0.2558,-6.356,-0.7505,-0.8805,0.248,-3.0018,12.125,12,0.25,48.5,-0.2576,-1.7414
28,Lamberts Bay,SACTN,18.30262184,-32.09184626,28,2491,2492,2493,3,1997-01-20,1997-01-21,1997-01-22,-2.5712,-4.07,1.3256,-7.7135,-1.4919,-2.9919,1.3277,-4.4757,11,9.5,1.3229,33,-2.1957,-2.0165
29,Lamberts Bay,SACTN,18.30262184,-32.09184626,29,2499,2499,2501,3,1997-01-28,1997-01-28,1997-01-30,-2.5254,-3.1708,0.743,-7.5763,-1.4624,-2.1129,0.7479,-4.3871,11.1667,10.5,0.7638,33.5,-0.0186,-0.7787
30,Lamberts Bay,SACTN,18.30262184,-32.09184626,30,2513,2515,2517,5,1997-02-11,1997-02-13,1997-02-15,-2.7634,-3.9612,1.5869,-13.8171,-1.7764,-2.9758,1.5885,-8.8818,11.1962,10,1.5964,55.981,-0.8143,-1.5845
31,Lamberts Bay,SACTN,18.30262184,-32.09184626,31,2568,2570,2570,3,1997-04-07,1997-04-09,1997-04-09,-1.5001,-1.9921,0.4924,-4.5003,-0.9583,-1.4469,0.4887,-2.8748,12,11.5,0.5,36,-0.5954,-0.0122
32,Lamberts Bay,SACTN,18.30262184,-32.09184626,32,2596,2600,2605,10,1997-05-05,1997-05-09,1997-05-14,-1.0259,-1.7127,0.6485,-10.2593,-0.5912,-1.2721,0.6325,-5.9122,12.1938,11.5,0.6537,121.9377,-0.1907,-0.2208
